"Name","Team","GP","W","L","T","SHA","GA","GAA","SV%","SO","G","A","PIM","TOI"
"Matt Murray","Kings","29","21","5","2","860","66","2.32","0.923","0","0","0","0","1706"
"Dustin Wolf","Canadiens","8","5","2","0","214","17","2.22","0.921","0","0","0","0","460"
"Juuse Saros","Wild","30","9","12","5","989","79","2.93","0.920","0","0","0","0","1620"
"Connor Hellebuyck","Maple Leafs","28","18","7","3","844","72","2.71","0.915","2","0","0","0","1593"
"Pyotr Kochetkov","Avalanche","27","13","8","3","848","73","3.02","0.914","1","0","0","0","1449"
"Thatcher Demko","Canucks","28","14","8","4","836","75","2.77","0.910","1","0","0","0","1624"
"Cory Schneider","Penguins","26","13","13","0","991","89","3.52","0.910","0","0","0","0","1516"
"Len Robitaille","Islanders","13","6","5","2","376","34","2.91","0.910","0","0","0","0","702"
"Linus Ullmark","Sabres","29","18","9","0","832","76","2.85","0.909","2","0","0","0","1601"
"Sergei Bobrovsky","Sharks","29","16","10","3","1004","92","3.20","0.908","0","0","0","0","1725"
"Petr Mrazek","Bruins","28","17","7","3","741","68","2.58","0.908","1","0","0","0","1580"
"Igor Shestyorkin","Rangers","23","11","10","2","762","70","3.00","0.908","0","0","0","0","1402"
"Carey Price","Canadiens","28","19","7","2","914","84","3.05","0.908","0","0","0","0","1652"
"Ilya Sorokin","Predators","31","16","12","2","999","92","3.02","0.908","1","0","0","0","1825"
"Mackenzie Blackwood","Flames","21","9","10","1","672","62","3.08","0.908","0","0","0","0","1209"
"Connor Ingram","Panthers","29","10","15","1","1046","98","3.54","0.906","0","0","0","0","1662"
"Andrei Vasilevskiy","Ducks","29","15","13","1","871","82","2.90","0.906","0","0","0","0","1696"
"Braden Holtby","Blackhawks","29","14","13","0","913","86","3.14","0.906","0","0","0","0","1644"
"Jake Allen","Flyers","27","16","10","1","856","81","3.04","0.905","0","0","0","0","1599"
"Bruno Cayer","Red Wings","27","10","14","3","1054","101","3.77","0.904","0","0","0","0","1607"
"Ilya Samsonov","Capitals","28","7","16","4","935","91","3.30","0.903","0","0","0","0","1653"
"Erik Portillo","Rangers","11","6","4","1","348","34","3.09","0.902","0","0","0","0","662"
"Simon Girardin","Flyers","8","1","6","0","253","25","3.28","0.901","0","0","0","0","458"
"John Gibson","Coyotes","29","17","7","5","819","81","2.87","0.901","0","0","0","0","1692"
"Daniil Tarasov","Stars","7","5","2","0","212","21","3.45","0.901","0","0","0","0","365"
"Jacob Markstrom","Penguins","10","5","2","1","290","29","3.28","0.900","0","0","0","0","531"
"Lucas Andersson","Blues","23","7","15","1","787","79","3.67","0.900","0","0","0","0","1293"
"Spencer Knight","Stars","27","20","3","2","860","88","3.35","0.898","1","0","0","0","1576"
"Filip Gustavsson","Jets","26","15","10","0","781","80","3.19","0.898","1","0","0","0","1506"
"Arturs Silovs","Islanders","23","6","13","2","736","76","3.36","0.897","0","0","0","0","1358"
"Kaapo Kahkonen","Hurricanes","16","9","5","0","443","46","3.13","0.896","0","0","0","0","882"
"Logan Thompson","Blue Jackets","29","19","8","1","882","93","3.35","0.895","0","0","0","0","1667"
"Jeremy Swayman","Devils","21","14","4","1","549","58","2.96","0.894","0","0","1","0","1175"
"Robin Lehner","Hurricanes","19","12","5","2","550","59","3.18","0.893","0","0","0","0","1113"
"Daniel Vladar","Senators","26","12","10","0","713","77","3.22","0.892","1","0","0","0","1436"
"Marian Marincin","Blues","11","1","6","2","337","37","3.49","0.890","0","0","1","0","638"
"Joonas Korpisalo","Ducks","8","2","2","2","206","23","3.76","0.888","0","0","0","0","367"
"Rudy Rashid","Blue Jackets","9","4","2","1","220","25","3.42","0.886","0","0","0","0","439"
"Joseph Woll","Flames","13","6","6","0","415","48","4.01","0.884","0","0","0","0","720"
"Vitek Vanecek","Lightning","14","4","5","2","412","48","3.76","0.883","0","0","0","0","766"
"Lennu Parikka","Coyotes","8","5","1","0","205","24","3.28","0.883","0","0","0","0","440"
"Nico Daws","Wild","9","2","5","2","315","37","4.34","0.883","0","0","0","0","511"
"Stuart Skinner","Predators","7","2","2","2","212","25","3.70","0.882","0","0","0","0","405"
"Roman Rankin","Jets","8","4","3","0","195","23","3.29","0.882","0","0","0","0","419"
"Adin Hill","Avalanche","12","1","8","0","353","42","4.68","0.881","0","0","0","0","538"
"Anthony La Porte","Red Wings","8","2","3","2","281","34","4.51","0.879","0","0","0","0","452"
"Yaroslav Askarov","Sharks","7","2","3","0","197","24","4.38","0.878","0","0","0","0","330"
"Tristan Jarry","Devils","15","8","6","0","377","46","3.42","0.878","0","0","0","0","808"
"Lukas Dostal","Oilers","27","12","12","1","679","84","3.41","0.876","0","0","0","0","1481"
"Beau Bertrand","Panthers","9","1","7","1","240","30","4.01","0.875","0","0","0","0","449"
"Roberto Morse","Kings","7","3","3","1","204","26","3.82","0.873","0","0","0","0","409"
"Jake Oettinger","Lightning","24","5","17","2","753","96","4.25","0.873","0","0","0","0","1354"
"David Kuba","Maple Leafs","7","2","3","0","223","29","4.43","0.870","0","0","0","0","393"
"Patrick Genoni","Canucks","8","4","3","0","198","26","4.25","0.869","0","0","0","0","368"
"Frantisek Smetak","Bruins","8","2","4","0","177","24","3.54","0.864","0","0","0","0","408"
"Cayden Primeau","Sabres","10","3","4","1","250","35","4.20","0.860","0","0","0","0","501"
"Devon Levi","Oilers","12","2","5","1","244","36","4.26","0.852","0","0","0","0","507"
"Spencer Martin","Blackhawks","10","3","4","1","216","34","4.52","0.843","0","0","0","0","451"
"Juhani Piipponen","Capitals","8","1","6","0","201","32","4.67","0.841","0","0","0","0","411"
"Ukko-Pekka Luukkonen","Senators","12","2","9","0","261","44","4.88","0.831","0","0","0","0","541"
