"Name","Team","Pos","GP","G","A","P","+/-","PIM","PPP","SHp","Ht","GA","TA","SOG","S%","SB","ATOI","APPT","APKT","FO%"
"Mikko Rantanen","Kings","RW/LW",35,21,29,50,25,12,14,0,67,6,15,93,"23",24,"16:45","3:24","0:32","0"
"Filip Forsberg","Blue Jackets","LW/RW",35,18,28,46,9,8,18,1,122,13,37,130,"14",90,"18:56","3:34","2:49","18"
"Kaapo Kakko","Sabres","RW/LW",35,22,23,45,23,6,9,0,67,7,4,98,"22",20,"15:48","2:37","0:00","0"
"Lucas Raymond","Coyotes","LW",35,21,24,45,10,8,14,0,35,12,0,139,"15",8,"17:17","3:19","0:04","0"
"Steven Stamkos","Kings","C/LW",35,19,26,45,16,4,16,0,59,7,16,96,"20",53,"18:16","3:34","2:30","55"
"Sam Reinhart","Sabres","RW/C",35,15,30,45,17,14,14,0,50,5,18,123,"12",33,"17:03","3:25","0:47","13"
"Andrei Svechnikov","Devils","RW/LW",33,22,22,44,6,4,19,0,90,18,2,106,"21",21,"16:50","3:18","0:34","0"
"Matthew Tkachuk","Stars","LW/RW",32,21,22,43,21,20,12,1,129,8,15,84,"25",58,"19:03","3:35","2:52","21"
"Jack Eichel","Sabres","C",35,19,23,42,26,6,11,0,69,3,14,116,"16",31,"15:55","3:17","0:08","45"
"Pavel Buchnevich","Rangers","LW/RW",34,17,25,42,21,32,12,0,51,7,8,78,"22",27,"16:33","3:03","0:28","10"
"Mathew Barzal","Kings","C/RW",35,14,28,42,24,20,16,1,64,1,9,94,"15",47,"18:01","3:29","1:49","54"
"Phil Kessel","Penguins","RW",34,23,18,41,8,8,14,0,59,8,5,84,"27",36,"17:07","2:55","0:48","6"
"Jack Hughes","Canadiens","C/LW",35,17,24,41,-5,10,24,0,77,7,8,98,"17",31,"16:43","3:00","0:03","51"
"Alex DeBrincat","Maple Leafs","LW/RW",33,16,25,41,14,2,16,0,33,5,1,67,"24",12,"16:04","3:07","0:00","0"
"Clayton Keller","Coyotes","RW/LW",35,16,25,41,2,34,19,0,57,9,2,77,"21",15,"16:44","3:18","0:02","50"
"Tomas Hertl","Oilers","C/LW",33,20,20,40,8,10,16,2,95,7,8,103,"19",57,"18:48","3:23","2:09","52"
"Nikita Kucherov","Predators","RW/LW",36,24,15,39,8,6,15,0,47,8,15,98,"24",22,"16:49","3:26","0:40","4"
"Connor Bedard","Red Wings","C",34,22,17,39,4,6,11,0,31,4,2,72,"31",27,"16:10","2:55","0:14","47"
"Leon Draisaitl","Oilers","C",33,15,24,39,8,8,8,1,121,8,14,77,"19",47,"18:20","3:21","1:58","64"
"Artemi Panarin","Stars","LW/RW",32,14,25,39,15,4,10,0,40,8,6,79,"18",26,"17:05","3:21","0:55","0"
"Nathan MacKinnon","Avalanche","C/RW",33,11,28,39,15,12,13,0,58,4,18,62,"18",41,"18:05","3:03","1:34","55"
"Patrick Kane","Blackhawks","RW",35,22,16,38,7,10,18,0,55,6,6,77,"29",66,"18:16","2:45","2:33","20"
"Patrik Laine","Rangers","RW/LW",34,21,17,38,23,18,10,0,83,10,19,105,"20",47,"18:19","3:10","2:17","0"
"Gabe Vilardi","Blue Jackets","C/RW",35,20,18,38,10,4,17,0,46,3,3,91,"22",16,"15:38","3:15","0:08","29"
"Valeri Nichushkin","Kings","RW/LW",35,12,26,38,7,20,17,0,80,7,7,118,"10",17,"15:59","3:46","0:00","0"
"Jesse Puljujarvi","Coyotes","RW",35,10,28,38,11,16,14,0,79,12,8,108,"9",21,"15:39","2:15","0:18","0"
"Vladimir Tarasenko","Canadiens","RW",35,20,17,37,5,10,17,0,93,11,14,99,"20",34,"16:57","3:04","0:46","0"
"Matt Duchene","Canadiens","C",33,16,21,37,7,17,10,0,53,9,6,72,"22",35,"17:37","3:10","1:32","47"
"Mark Scheifele","Hurricanes","C",33,12,25,37,9,8,13,0,55,15,17,75,"16",90,"18:44","3:30","2:27","51"
"Sebastian Aho","Blue Jackets","C",35,11,26,37,4,10,20,0,65,4,19,93,"12",46,"17:56","3:19","1:54","54"
"Judes Pawelek","Sharks","RW",34,17,19,36,20,25,14,0,72,8,4,129,"13",9,"16:04","3:21","0:01","0"
"Trevor Zegras","Penguins","LW",34,16,20,36,13,8,13,0,53,7,5,73,"22",9,"17:23","2:58","0:07","0"
